Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value
04:47.7;0.506175;0.478221;-1;3176.595;0;10000
04:54.6;0.506175;0.478221;-1;3176.835;0;10000
05:01.2;0.94742;0.0476241;0;3176.89;0.01;10000
05:08.1;0.99842;0.00140455;0;3176.55;0.02;9999.9966
05:14.7;0.531807;0.45297;-1;3176.295;0.02;9999.9915
05:21.0;0.258971;0.739822;1;3176.295;0.01;9999.9915
05:27.2;0.257466;0.58689;1;3176.295;0;9999.9915
05:33.5;0.198381;0.496662;-1;3176.295;0;9999.9915
05:40.0;0.0676416;0.378692;-1;3176.295;0;9999.9915
05:46.6;0.00183649;0.134664;-1;3176.295;0;9999.9915
05:53.1;2.18E-05;0.0226982;-1;3176.295;0;9999.9915
05:59.7;6.21E-06;0.0111903;-1;3174.665;0;9999.9915
06:06.6;0.0126916;0.290613;-1;3174.055;0;9999.9915
06:12.9;0.0718496;0.481852;-1;3173.305;0;9999.9915
06:19.2;0.0349991;0.558009;1;3173.305;0;9999.9915
06:26.1;0.0525961;0.498389;-1;3173.305;0;9999.9915
06:32.9;0.0198229;0.432507;-1;3176.21;0;9999.9915
06:39.3;0.0862154;0.340202;-1;3178.275;0;9999.9915
06:45.6;0.133132;0.250075;-1;3177.905;0;9999.9915
06:52.6;0.108294;0.297014;-1;3178.255;0;9999.9915
06:59.9;0.147446;0.22888;-1;3178.28;0;9999.9915
07:06.8;0.201194;0.169308;-1;3178.25;0;9999.9915
07:13.6;0.158514;0.214154;-1;3178.25;0;9999.9915
07:20.4;0.143504;0.195097;-1;3178.07;0;9999.9915
07:27.4;0.110552;0.246272;-1;3177.885;0;9999.9915
07:34.2;0.0843214;0.306044;-1;3177.395;0;9999.9915
07:41.2;0.065477;0.366939;-1;3177.36;0;9999.9915
07:47.8;0.0519341;0.425739;-1;3177.42;0;9999.9915
07:55.1;0.0763581;0.329419;-1;3177.34;0;9999.9915
08:02.9;0.0635119;0.374538;-1;3178.235;0;9999.9915
08:09.7;0.0915664;0.287195;-1;3178.205;0;9999.9915
08:16.6;0.0749845;0.333772;-1;3178.005;0;9999.9915
08:23.5;0.0591397;0.392501;-1;3178.64;0;9999.9915
08:30.9;0.0855808;0.302615;-1;3179.995;0;9999.9915
08:37.9;0.124861;0.221574;-1;3179.995;0;9999.9915
08:45.5;0.112053;0.201125;-1;3179.995;0;9999.9915
08:52.7;0.101607;0.184097;-1;3179.995;0;9999.9915
09:00.0;0.0929169;0.169684;-1;3179.995;0;9999.9915
09:07.0;0.0855771;0.157332;-1;3179.995;0;9999.9915
09:13.8;0.0792985;0.146633;-1;3179.995;0;9999.9915
09:20.7;0.0738684;0.13728;-1;3179.995;0;9999.9915
09:27.8;0.069127;0.129035;-1;3179.995;0;9999.9915
09:35.3;0.0649521;0.121715;-1;3179.995;0;9999.9915
09:42.2;0.0612485;0.115174;-1;3179.995;0;9999.9915
09:49.9;0.0579411;0.109293;-1;3179.995;0;9999.9915
09:57.3;0.05497;0.10398;-1;3179.995;0;9999.9915
10:04.3;0.0522866;0.0991546;-1;3179.995;0;9999.9915
10:11.6;0.0498512;0.0947545;-1;3176.645;0;9999.9915
10:18.9;0.0373636;0.123954;-1;3178.245;0;9999.9915
10:26.3;0.051244;0.0922943;-1;3178.245;0;9999.9915
10:33.6;0.0488199;0.0881087;-1;3178.245;0;9999.9915
10:41.2;0.0467548;0.0845293;-1;3178.245;0;9999.9915
10:48.2;0.0448624;0.0812382;-1;3178.245;0;9999.9915
10:55.4;0.0431168;0.0781929;-1;3178.245;0;9999.9915
11:03.2;0.0415012;0.0753666;-1;3178.245;0;9999.9915
11:10.4;0.0400018;0.0727365;-1;3176.275;0;9999.9915
11:17.8;0.0297848;0.0962264;-1;3179.885;0;9999.9915
11:27.5;0.0408187;0.0713289;-1;3179.885;0;9999.9915
11:34.7;0.0392868;0.0687339;-1;3179.885;0;9999.9915
