Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value;Index BTC;Index Port
18:20.0;0.490972;0.491857;-1;3424.065;0;10000;1;1
18:22.6;0.490972;0.491857;-1;3424.065;0;10000;1;1
18:25.2;0.00188434;0.00171683;-1;3424.065;0;10000;1;1
18:27.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:30.6;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:33.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:35.5;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:37.6;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:40.3;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:42.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:45.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:48.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:50.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:53.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:55.6;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
18:58.2;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:01.1;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:04.3;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:07.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:09.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:12.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:15.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:18.6;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:21.7;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:24.3;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:26.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:29.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:32.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:36.5;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:39.4;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:42.0;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:45.3;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:48.2;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:50.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:53.6;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:56.7;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
19:59.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:02.8;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
20:05.9;2.56E-06;2.41E-06;-1;3424.065;0;10000;1;1
