Timestamp;Market Long proba (%);Market Short proba (%);Order Type;Market Mid;Holding;Holding Value;BTC;Port
33:31.4;0.50026;0.483229;0;4319.985;1;100000;1;1
34:33.0;0.731431;0.264949;0;4319.985;2;100000;1;1
35:35.8;0.925648;0.0709193;0;4319.985;3;100000;1;1
36:37.5;0.971381;0.0267149;0;4313.905;4;99981.76;0.998592588;0.9998176
37:39.3;0.653246;0.344212;0;4313.905;5;99981.76;0.998592588;0.9998176
38:40.9;0.392272;0.608274;1;4313.635;3;99980.41;0.998530087;0.9998041
39:42.3;0.162792;0.836924;1;4313.825;1;99980.98;0.998574069;0.9998098
40:44.3;0.0516613;0.94763;1;4314.085;0;99981.24;0.998634255;0.9998124
41:46.0;0.328923;0.671546;1;4311.63;0;99981.24;0.998065966;0.9998124
42:48.0;0.310935;0.689486;1;4309.18;0;99981.24;0.997498834;0.9998124
43:50.0;0.186423;0.813428;1;4310.765;0;99981.24;0.997865733;0.9998124
44:52.0;0.0838548;0.915479;1;4311.985;0;99981.24;0.998148142;0.9998124
45:53.7;0.366976;0.633558;1;4313.26;0;99981.24;0.998443282;0.9998124
46:55.5;0.521821;0.478401;0;4318.555;1;99981.24;0.99966898;0.9998124
47:57.5;0.630714;0.369764;0;4320.545;2;99983.23;1.00012963;0.9998323
48:59.4;0.781563;0.218757;0;4320.59;3;99983.32;1.000140047;0.9998332
50:01.8;0.904835;0.0949836;0;4320.585;4;99983.305;1.000138889;0.99983305
51:03.7;0.953417;0.0462414;0;4317.105;5;99969.385;0.999333331;0.99969385
52:05.8;0.675202;0.325297;0;4318.875;6;99978.235;0.999743055;0.99978235
53:07.5;0.504794;0.495379;0;4319.025;7;99979.135;0.999777777;0.99979135
54:09.7;0.444902;0.555031;1;4319.075;5;99979.485;0.999789351;0.99979485
55:11.5;0.488195;0.511778;1;4319.075;3;99979.485;0.999789351;0.99979485
56:13.3;0.533378;0.466611;0;4319.995;4;99982.245;1.000002315;0.99982245
57:15.7;0.577397;0.422574;0;4320.995;5;99986.245;1.000233797;0.99986245
58:18.0;0.624701;0.375233;0;4324.995;6;100006.245;1.001159726;1.00006245
59:21.0;0.682183;0.317687;0;4324.995;7;100006.245;1.001159726;1.00006245
00:23.2;0.753416;0.246371;0;4325.115;8;100007.085;1.001187504;1.00007085
01:26.0;0.82874;0.17099;0;4326.995;9;100022.125;1.001622691;1.00022125
02:28.7;0.888802;0.110927;0;4324.005;10;99995.215;1.000930559;0.99995215
03:31.7;0.701029;0.298817;0;4325.295;11;100008.115;1.001229171;1.00008115
04:34.3;0.721734;0.278088;0;4324.325;12;99997.445;1.001004633;0.99997445
05:35.9;0.618389;0.381551;0;4323.105;13;99982.805;1.000722225;0.99982805
06:38.3;0.550139;0.449845;0;4321.93;14;99967.53;1.000450233;0.9996753
